location,date,ML,Low_90,High_90,Low_50,High_50
Romania,2020-02-29,3.0,1.01,6.99,2.04,4.45
Romania,2020-03-01,2.88,0.9500000000000001,6.22,2.04,4.21
Romania,2020-03-02,2.7800000000000002,0.96,5.8,2.0,4.01
Romania,2020-03-04,2.69,0.98,5.5200000000000005,1.94,3.83
Romania,2020-03-06,2.91,1.11,5.7,2.08,4.0
Romania,2020-03-07,2.74,1.06,5.23,2.0100000000000002,3.7600000000000002
Romania,2020-03-08,2.85,1.17,5.22,2.09,3.79
Romania,2020-03-09,3.1,1.36,5.29,2.42,4.08
Romania,2020-03-10,3.34,1.62,5.29,2.65,4.19
Romania,2020-03-11,3.3200000000000003,1.78,5.04,2.72,4.08
Romania,2020-03-12,3.2800000000000002,1.8800000000000001,4.75,2.73,3.92
Romania,2020-03-13,3.04,1.79,4.3,2.57,3.61
Romania,2020-03-14,3.04,1.95,4.19,2.66,3.59
Romania,2020-03-15,2.77,1.8,3.79,2.4,3.22
Romania,2020-03-16,2.61,1.72,3.52,2.2600000000000002,3.0
Romania,2020-03-17,2.35,1.55,3.2,2.05,2.73
Romania,2020-03-18,2.14,1.3900000000000001,2.93,1.8900000000000001,2.5300000000000002
Romania,2020-03-19,2.09,1.4000000000000001,2.86,1.83,2.43
Romania,2020-03-20,2.04,1.37,2.75,1.8,2.37
Romania,2020-03-21,2.17,1.51,2.81,1.95,2.49
Romania,2020-03-22,2.39,1.78,2.99,2.18,2.68
Romania,2020-03-23,2.46,1.92,3.04,2.2600000000000002,2.72
Romania,2020-03-24,2.42,1.93,2.96,2.22,2.64
Romania,2020-03-25,2.47,2.02,2.97,2.3000000000000003,2.69
Romania,2020-03-26,2.3000000000000003,1.8800000000000001,2.7600000000000002,2.14,2.5
Romania,2020-03-27,2.27,1.8800000000000001,2.7,2.14,2.48
Romania,2020-03-28,2.07,1.7,2.48,1.94,2.2600000000000002
Romania,2020-03-29,1.95,1.59,2.33,1.84,2.15
Romania,2020-03-30,1.83,1.49,2.21,1.72,2.02
Romania,2020-03-31,1.76,1.43,2.13,1.6500000000000001,1.94
Romania,2020-04-01,1.72,1.4000000000000001,2.08,1.61,1.8900000000000001
Romania,2020-04-02,1.76,1.45,2.11,1.6400000000000001,1.9100000000000001
Romania,2020-04-03,1.61,1.31,1.95,1.52,1.79
Romania,2020-04-04,1.49,1.19,1.82,1.3900000000000001,1.6500000000000001
Romania,2020-04-05,1.41,1.11,1.73,1.31,1.57
Romania,2020-04-06,1.35,1.06,1.68,1.26,1.52
Romania,2020-04-07,1.33,1.03,1.6400000000000001,1.21,1.46
Romania,2020-04-08,1.18,0.89,1.5,1.07,1.32
Romania,2020-04-09,1.22,0.93,1.54,1.11,1.36
Romania,2020-04-10,1.25,0.9400000000000001,1.54,1.1400000000000001,1.3900000000000001
Romania,2020-04-11,1.26,0.98,1.58,1.17,1.42
Romania,2020-04-12,1.1300000000000001,0.8300000000000001,1.42,1.04,1.29
Romania,2020-04-13,1.07,0.79,1.3900000000000001,0.98,1.23
Romania,2020-04-14,1.06,0.78,1.3800000000000001,0.97,1.22
Romania,2020-04-15,1.08,0.8,1.4000000000000001,0.99,1.24
Romania,2020-04-16,1.01,0.73,1.33,0.92,1.17
Romania,2020-04-17,1.04,0.76,1.36,0.9500000000000001,1.2
Romania,2020-04-18,0.97,0.68,1.28,0.87,1.12
Romania,2020-04-19,0.96,0.67,1.27,0.86,1.11
Romania,2020-04-20,0.99,0.6900000000000001,1.29,0.89,1.1400000000000001
Romania,2020-04-21,0.9400000000000001,0.64,1.24,0.84,1.09
Romania,2020-04-22,0.96,0.68,1.29,0.86,1.11
Romania,2020-04-23,0.93,0.64,1.25,0.8200000000000001,1.07
Romania,2020-04-24,0.99,0.7000000000000001,1.31,0.88,1.1300000000000001
Romania,2020-04-25,1.03,0.74,1.35,0.92,1.17
Romania,2020-04-26,0.98,0.6900000000000001,1.3,0.87,1.12
Romania,2020-04-27,0.92,0.63,1.24,0.81,1.06
Romania,2020-04-28,0.88,0.58,1.19,0.76,1.01
Romania,2020-04-29,0.91,0.62,1.24,0.8200000000000001,1.08
Romania,2020-04-30,0.89,0.59,1.21,0.79,1.05
Romania,2020-05-01,0.91,0.6,1.22,0.81,1.07
Romania,2020-05-02,0.96,0.64,1.26,0.86,1.12
Romania,2020-05-03,1.0,0.6900000000000001,1.31,0.9,1.16
Romania,2020-05-04,0.98,0.68,1.3,0.88,1.1400000000000001
Romania,2020-05-05,1.06,0.76,1.3800000000000001,0.97,1.23
Romania,2020-05-06,1.06,0.76,1.3800000000000001,0.97,1.23
Romania,2020-05-07,1.11,0.8,1.41,0.98,1.23
Romania,2020-05-08,0.97,0.68,1.29,0.86,1.11
Romania,2020-05-09,0.91,0.62,1.24,0.8200000000000001,1.08
Romania,2020-05-10,0.8300000000000001,0.52,1.1400000000000001,0.73,0.99
Romania,2020-05-11,0.78,0.48,1.11,0.68,0.9400000000000001
Romania,2020-05-12,0.71,0.4,1.04,0.62,0.89
Romania,2020-05-13,0.68,0.36,1.01,0.5700000000000001,0.84
Romania,2020-05-14,0.7000000000000001,0.38,1.04,0.5700000000000001,0.84
Romania,2020-05-15,0.76,0.43,1.1,0.65,0.93
Romania,2020-05-16,0.81,0.47000000000000003,1.1400000000000001,0.7000000000000001,0.98
Romania,2020-05-17,0.89,0.5700000000000001,1.25,0.78,1.06
