state,date,ML,Low_90,High_90,Low_50,High_50
AB,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
AB,2020-04-03,2.5100000000000002,0.78,4.8100000000000005,1.6300000000000001,3.31
AB,2020-04-04,2.45,0.77,4.41,1.61,3.13
AB,2020-04-05,2.7,0.97,4.46,1.8900000000000001,3.34
AB,2020-04-06,2.6,1.03,4.21,1.84,3.16
AB,2020-04-07,2.48,0.9400000000000001,3.89,1.75,2.97
AB,2020-04-08,2.15,0.68,3.44,1.49,2.63
AB,2020-04-09,1.82,0.4,3.02,1.17,2.27
AB,2020-04-10,1.37,0.08,2.47,0.77,1.83
AB,2020-04-11,1.05,0.0,2.19,0.41000000000000003,1.43
AB,2020-04-12,0.71,0.0,2.02,0.25,1.18
AB,2020-04-13,0.81,0.0,2.15,0.35000000000000003,1.33
AB,2020-04-14,0.8,0.0,2.15,0.33,1.31
AB,2020-04-15,0.91,0.0,2.25,0.36,1.3900000000000001
AB,2020-04-16,0.88,0.0,2.23,0.34,1.36
AB,2020-04-17,0.74,0.0,2.11,0.27,1.23
AB,2020-04-18,0.64,0.0,2.02,0.2,1.11
AB,2020-04-19,0.58,0.0,1.95,0.13,1.0
AG,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
AG,2020-04-03,2.63,0.8300000000000001,5.22,1.79,3.61
AG,2020-04-04,2.43,0.72,4.62,1.61,3.23
AG,2020-04-05,2.27,0.52,4.18,1.52,3.04
AG,2020-04-06,2.15,0.41000000000000003,3.91,1.35,2.82
AG,2020-04-07,2.04,0.3,3.68,1.24,2.68
AG,2020-04-08,2.1,0.32,3.7,1.29,2.73
AG,2020-04-09,1.97,0.28,3.52,1.1300000000000001,2.54
AG,2020-04-10,1.84,0.18,3.31,1.06,2.44
AG,2020-04-11,1.73,0.14,3.17,0.93,2.29
AG,2020-04-12,1.44,0.0,2.83,0.6,1.9100000000000001
AG,2020-04-13,1.35,0.0,2.7800000000000002,0.58,1.87
AG,2020-04-14,1.0,0.0,2.6,0.36,1.57
AG,2020-04-15,0.92,0.0,2.6,0.34,1.54
AG,2020-04-16,1.12,0.0,2.74,0.4,1.67
AG,2020-04-17,1.29,0.0,2.84,0.54,1.85
AG,2020-04-18,1.6300000000000001,0.08,3.1,0.8200000000000001,2.19
AG,2020-04-19,1.67,0.1,3.08,0.87,2.21
AR,2020-04-02,3.0,0.86,6.84,1.86,4.2700000000000005
